"company_id","name"
"INE04TZ01018","Ethos Limited"
"INE0KCE01017","Eureka Forbes Limited"
"INE022C01012","Eurotex Industries and Exports Limited"
"INE128A01029","Eveready Industries India Limited"
"INE295A01018","Everest Industries Limited"
"INE688J01023","Excel Realty N Infra Limited"
"INE369A01029","Excel Industries Limited"
"INE777F01014","Exicom Tele-Systems Limited"
"INE302A01020","Exide Industries Limited"
"INE201K01015","Expleo Solutions Limited"
"INE0GFE01026","Exxaro Tiles Limited"
"INE188A01015","Fertilizers and Chemicals Travancore Limited"
"INE0DNW01011","Fairchem Organics Limited"
"INE963C01033","Faze Three Limited"
"INE512B01022","FCS Software Solutions Limited"
"INE258B01022","FDC Limited"
"INE171A01029","The Federal Bank  Limited"
"INE007N01010","Fedbank Financial Services Limited"
"INE623B01027","Future Enterprises Limited"
"INE296C01020","Fiberweb (India) Limited"
"INE737H01014","Fiem Industries Limited"
"INE816B01035","Filatex India Limited"
"INE185E01021","Filatex Fashions Limited"
"INE235A01022","Finolex Cables Limited"
"INE686Y01026","Fine Organic Industries Limited"
"INE02NC01014","Fino Payments Bank Limited"
"INE183A01024","Finolex Industries Limited"
"INE02RE01045","Brainbees Solutions Limited"
"INE128S01021","Five-Star Business Finance Limited"
"INE00Y201027","Flair Writing Industries Limited"
"INE060J01017","Flexituff Ventures International Limited"
"INE452O01016","Future Lifestyle Fashions Limited"
"INE09N301011","Gujarat Fluorochemicals Limited"
"INE529A01010","Federal-Mogul Goetze (India) Limited."
"INE360L01017","Future Market Networks Limited"
"INE593W01028","Focus Lighting and Fixtures Limited"
"INE976E01023","Foods & Inns Limited"
"INE451A01017","FORCE MOTORS LTD"
"INE061F01013","Fortis Healthcare Limited"
"INE519A01011","Foseco India Limited"
"INE935Q01015","Future Supply Chain Solutions Limited"
"INE684F01012","Firstsource Solutions Limited"
"INE139R01012","Fusion Finance Limited"
"INE524A01029","Gabriel India Limited"
"INE036B01030","Gujarat Ambuja Exports Limited"
"INE129A01019","GAIL (India) Limited"
"INE0RE001014","Gala Precision Engineering Limited"
"INE600K01018","Galaxy Surfactants Limited"
"INE297H01019","Gallantt Ispat Limited"
"INE717W01049","Gandhar Oil Refinery (India) Limited"
"INE524B01027","Gandhi Special Tubes Limited"
"INE845D01014","Ganesha Ecosphere Limited"
"INE388A01029","Ganesh Benzoplast Limited"
"INE460C01014","Ganesh Housing Corporation Limited"
"INE691Z01023","Ganga Forging Limited"
"INE335W01016","Ganges Securities Limited"
"INE276A01018","Garware Technical Fibres Limited"
"INE0JVO01026","Garuda Construction and Engineering Limited"
"INE224E01028","GACM Technologies Limited"
"INE079J01017","Gateway Distriparks Limited"
